MovieTitle,ScriptLink,ProductionBudget,DomesticGross,WorldwideGross
sex and the city,sex-and-the-city.html," $57,500,000"," $152,647,258"," $152,647,258"
devil's advocate,devil's-advocate.html," $57,000,000"," $61,007,424"," $61,007,424"
into the woods,into-the-woods.html," $56,200,000"," $128,002,372"," $128,002,372"
the pacifier,the-pacifier.html," $56,000,000"," $113,006,880"," $113,006,880"
walking tall,walking-tall.html," $56,000,000"," $46,213,824"," $46,213,824"
forrest gump,forrest-gump.html," $55,000,000"," $330,151,138"," $330,151,138"
joker,joker.html," $55,000,000"," $256,270,421"," $256,270,421"
date night,date-night.html," $55,000,000"," $98,711,404"," $98,711,404"
r.v.,r.v..html," $55,000,000"," $71,724,497"," $71,724,497"
death becomes her,death-becomes-her.html," $55,000,000"," $58,422,650"," $58,422,650"
executive decision,executive-decision.html," $55,000,000"," $56,679,192"," $56,679,192"
alien 3,alien-3.html," $55,000,000"," $54,927,174"," $54,927,174"
kubo and the two strings,kubo-and-the-two-strings.html," $55,000,000"," $48,023,088"," $48,023,088"
ronin,ronin.html," $55,000,000"," $41,610,884"," $41,610,884"
burlesque,burlesque.html," $55,000,000"," $39,440,655"," $39,440,655"
the ghost and the darkness,the-ghost-and-the-darkness.html," $55,000,000"," $38,564,422"," $38,564,422"
changeling,changeling.html," $55,000,000"," $35,739,802"," $35,739,802"
instinct,instinct.html," $55,000,000"," $34,105,207"," $34,105,207"
semi-pro,semi-pro.html," $55,000,000"," $33,479,698"," $33,479,698"
elizabeth: the golden age,elizabeth:-the-golden-age.html," $55,000,000"," $16,285,240"," $16,285,240"
imagine that,imagine-that.html," $55,000,000"," $16,222,392"," $16,222,392"
all the king's men,all-the-king's-men.html," $55,000,000"," $7,221,458"," $7,221,458"
thunderbirds,thunderbirds.html," $55,000,000"," $6,768,055"," $6,768,055"
law abiding citizen,law-abiding-citizen.html," $53,000,000"," $73,357,727"," $73,357,727"
anastasia,anastasia.html," $53,000,000"," $58,403,409"," $58,403,409"
beloved,beloved.html," $53,000,000"," $22,852,487"," $22,852,487"
zero dark thirty,zero-dark-thirty.html," $52,500,000"," $95,720,716"," $95,720,716"
catch me if you can,catch-me-if-you-can.html," $52,000,000"," $164,606,800"," $164,606,800"
valentine's day,valentine's-day.html," $52,000,000"," $110,485,654"," $110,485,654"
casino,casino.html," $52,000,000"," $42,438,300"," $42,438,300"
the change-up,the-change-up.html," $52,000,000"," $37,243,418"," $37,243,418"
the thin red line,the-thin-red-line.html," $52,000,000"," $36,400,491"," $36,400,491"
man on the moon,man-on-the-moon.html," $52,000,000"," $34,580,635"," $34,580,635"
the adjustment bureau,the-adjustment-bureau.html," $50,200,000"," $62,495,645"," $62,495,645"
shrek,shrek.html," $50,000,000"," $267,655,011"," $267,655,011"
ted,ted.html," $50,000,000"," $218,665,740"," $218,665,740"
